backend,platform,configuration,width,height,render_ms,frame_ms,render_fps,frame_fps
CUDA,Win64,Release,7680,4320,17.1642,25.5248,58.2608,39.1776
CUDA,Win64,Release,7680,4320,16.5646,24.9953,60.3697,40.0075
CUDA,Win64,Release,7680,4320,17.2396,25.5624,58.006,39.12
CUDA,Win64,Release,7680,4320,18.5548,26.8664,53.8944,37.2212
CUDA,Win64,Release,7680,4320,16.4651,24.7038,60.7345,40.4796
CUDA,Win64,Release,7680,4320,16.377,24.6214,61.0612,40.6151
CUDA,Win64,Release,7680,4320,17.8392,26.1064,56.0563,38.3048
CUDA,Win64,Release,7680,4320,17.1743,26.0255,58.2265,38.4239
CUDA,Win64,Release,7680,4320,16.4571,24.4318,60.764,40.9303
CUDA,Win64,Release,7680,4320,16.3751,24.674,61.0683,40.5285
CUDA,Win64,Release,7680,4320,16.9873,25.1593,58.8675,39.7467
CUDA,Win64,Release,7680,4320,17.7885,26.0382,56.2161,38.4051
CUDA,Win64,Release,7680,4320,17.2735,25.4174,57.8921,39.3431
CUDA,Win64,Release,7680,4320,16.8355,25.3519,59.3983,39.4448
CUDA,Win64,Release,7680,4320,16.6606,24.8295,60.0218,40.2747
CUDA,Win64,Release,7680,4320,16.5263,24.9023,60.5096,40.1569
CUDA,Win64,Release,7680,4320,17.1015,25.6548,58.4744,38.9791
CUDA,Win64,Release,7680,4320,16.7709,25.0245,59.6271,39.9608
CUDA,Win64,Release,7680,4320,18.5209,28.1708,53.9931,35.4977
CUDA,Win64,Release,7680,4320,19.0728,27.5344,52.4307,36.3182
CUDA,Win64,Release,7680,4320,19.3116,27.7563,51.7823,36.0279
CUDA,Win64,Release,7680,4320,16.7252,24.9374,59.79,40.1004
CUDA,Win64,Release,7680,4320,18.0842,26.663,55.2969,37.5052
CUDA,Win64,Release,7680,4320,16.3137,24.6375,61.2982,40.5885
CUDA,Win64,Release,7680,4320,17.1832,25.4919,58.1964,39.2281
CUDA,Win64,Release,7680,4320,16.589,25.0596,60.2809,39.9049
CUDA,Win64,Release,7680,4320,17.7945,27.5122,56.1971,36.3475
CUDA,Win64,Release,7680,4320,17.626,25.6856,56.7344,38.9323
CUDA,Win64,Release,7680,4320,18.4951,26.8173,54.0684,37.2894
CUDA,Win64,Release,7680,4320,16.4161,24.6468,60.9158,40.5732
CUDA,Win64,Release,7680,4320,17.4978,25.8565,57.15,38.675
CUDA,Win64,Release,7680,4320,17.2645,25.4385,57.9223,39.3105
CUDA,Win64,Release,7680,4320,16.2605,24.8884,61.4987,40.1794
CUDA,Win64,Release,7680,4320,16.6056,24.7589,60.2206,40.3895
CUDA,Win64,Release,7680,4320,16.7382,25.2544,59.7436,39.5971
CUDA,Win64,Release,7680,4320,16.7493,24.9146,59.704,40.1371
CUDA,Win64,Release,7680,4320,17.9119,26.2803,55.8288,38.0513
CUDA,Win64,Release,7680,4320,16.457,24.6225,60.7644,40.6133
CUDA,Win64,Release,7680,4320,17.9548,26.1495,55.6954,38.2416
CUDA,Win64,Release,7680,4320,16.5705,24.892,60.3482,40.1735
CUDA,Win64,Release,7680,4320,17.9873,26.6724,55.5948,37.4919
CUDA,Win64,Release,7680,4320,16.7067,24.8635,59.8562,40.2196
CUDA,Win64,Release,7680,4320,16.9355,25.1109,59.0476,39.8233
CUDA,Win64,Release,7680,4320,17.0286,25.2559,58.7247,39.5947
CUDA,Win64,Release,7680,4320,17.9001,26.1399,55.8656,38.2557
CUDA,Win64,Release,7680,4320,16.8635,25.5376,59.2997,39.1579
CUDA,Win64,Release,7680,4320,17.5795,25.7895,56.8844,38.7755
CUDA,Win64,Release,7680,4320,17.5552,25.9475,56.9632,38.5394
CUDA,Win64,Release,7680,4320,16.5644,24.7019,60.3704,40.4827
CUDA,Win64,Release,7680,4320,16.6909,25.1748,59.9129,39.7223
CUDA,Win64,Release,7680,4320,17.5692,26.0653,56.9178,38.3652
CUDA,Win64,Release,7680,4320,18.0372,26.1827,55.441,38.1932
CUDA,Win64,Release,7680,4320,18.4652,27.0004,54.1559,37.0365
CUDA,Win64,Release,7680,4320,17.7672,25.9807,56.2835,38.4901
CUDA,Win64,Release,7680,4320,16.8071,25.5394,59.4987,39.1552
CUDA,Win64,Release,7680,4320,17.6005,26.2195,56.8166,38.1396
CUDA,Win64,Release,7680,4320,18.5115,26.6971,54.0205,37.4573
CUDA,Win64,Release,7680,4320,16.5333,25.0256,60.484,39.9591
CUDA,Win64,Release,7680,4320,16.576,24.6706,60.3282,40.5341
CUDA,Win64,Release,7680,4320,16.6966,25.0809,59.8924,39.871
CUDA,Win64,Release,7680,4320,16.8316,25.0301,59.4121,39.9519
CUDA,Win64,Release,7680,4320,17.1904,25.4625,58.172,39.2734
CUDA,Win64,Release,7680,4320,16.578,24.7566,60.3209,40.3933
CUDA,Win64,Release,7680,4320,16.3891,24.7624,61.0162,40.3838
CUDA,Win64,Release,7680,4320,16.6191,24.7473,60.1717,40.4084
CUDA,Win64,Release,7680,4320,16.7022,25.1565,59.8724,39.7512
CUDA,Win64,Release,7680,4320,17.852,26.3228,56.0161,37.9899
CUDA,Win64,Release,7680,4320,16.299,24.8362,61.3535,40.2638
CUDA,Win64,Release,7680,4320,16.6142,24.7791,60.1895,40.3566
CUDA,Win64,Release,7680,4320,16.7863,25.4141,59.5724,39.3482
CUDA,Win64,Release,7680,4320,17.9737,26.5173,55.6368,37.7112
CUDA,Win64,Release,7680,4320,18.4066,26.923,54.3283,37.143
CUDA,Win64,Release,7680,4320,16.6449,24.7657,60.0785,40.3784
CUDA,Win64,Release,7680,4320,16.3627,24.8599,61.1146,40.2254
CUDA,Win64,Release,7680,4320,17.5555,26.2959,56.9622,38.0287
CUDA,Win64,Release,7680,4320,17.4783,25.6033,57.2138,39.0575
CUDA,Win64,Release,7680,4320,16.5709,25.0944,60.3468,39.8495
CUDA,Win64,Release,7680,4320,16.4105,24.5546,60.9366,40.7256
CUDA,Win64,Release,7680,4320,16.6094,24.7637,60.2069,40.3817
CUDA,Win64,Release,7680,4320,16.752,24.9458,59.6944,40.0869
CUDA,Win64,Release,7680,4320,17.0607,25.7215,58.6142,38.878
CUDA,Win64,Release,7680,4320,16.2929,24.5839,61.3764,40.677
CUDA,Win64,Release,7680,4320,16.9323,25.5517,59.0587,39.1363
CUDA,Win64,Release,7680,4320,16.5854,24.6304,60.294,40.6002
CUDA,Win64,Release,7680,4320,17.3742,26.2854,57.5566,38.0439
CUDA,Win64,Release,7680,4320,17.1356,25.5517,58.358,39.1363
CUDA,Win64,Release,7680,4320,17.6837,25.7578,56.5493,38.8232
CUDA,Win64,Release,7680,4320,18.0782,26.4937,55.3152,37.7448
