backend,render_ms,frame_ms,render_fps,frame_fps
CUDA,1.2922,2.0386,773.874,490.533
CUDA,1.3591,2.7,735.781,370.37
CUDA,1.2874,2.1869,776.759,457.268
CUDA,1.4838,2.3336,673.945,428.522
CUDA,1.327,2.107,753.58,474.608
CUDA,1.3738,2.2706,727.908,440.412
CUDA,1.2625,2.2526,792.079,443.931
CUDA,1.4737,2.3048,678.564,433.877
CUDA,1.4557,2.4663,686.955,405.466
CUDA,1.5785,2.5988,633.513,384.793
CUDA,1.4816,2.3547,674.946,424.683
CUDA,1.3405,2.1532,745.99,464.425
CUDA,1.3527,2.1186,739.262,472.01
CUDA,1.3425,2.0883,744.879,478.858
CUDA,1.2893,2.0234,775.615,494.218
CUDA,1.3079,2.1728,764.584,460.236
CUDA,1.3751,2.4557,727.22,407.216
CUDA,2.2487,3.0732,444.701,325.394
CUDA,1.3932,2.1883,717.772,456.976
CUDA,1.3408,2.1017,745.823,475.805
CUDA,1.2957,2.0151,771.784,496.253
CUDA,1.3721,2.1525,728.81,464.576
CUDA,1.4553,2.4393,687.144,409.954
CUDA,1.8039,2.8634,554.354,349.235
CUDA,1.1273,2.6035,887.075,384.098
CUDA,1.3335,2.1286,749.906,469.792
CUDA,1.3438,2.1097,744.158,474.001
CUDA,1.5031,2.3079,665.292,433.294
CUDA,1.6382,2.5926,610.426,385.713
CUDA,1.7947,2.8964,557.196,345.256
CUDA,1.5027,2.4027,665.469,416.198
CUDA,1.348,2.2141,741.84,451.651
CUDA,1.3639,2.2164,733.192,451.182
CUDA,1.4866,2.3166,672.676,431.667
CUDA,1.5118,2.4646,661.463,405.745
CUDA,1.4825,2.3929,674.536,417.903
CUDA,1.337,2.6013,747.943,384.423
CUDA,1.4142,2.8079,707.114,356.138
CUDA,1.3376,2.1718,747.608,460.448
CUDA,1.3831,2.1749,723.013,459.791
CUDA,1.3421,2.1071,745.101,474.586
CUDA,1.399,2.2242,714.796,449.6
CUDA,1.3858,2.4433,721.605,409.283
CUDA,1.4239,2.3982,702.297,416.979
CUDA,1.165,2.4583,858.369,406.785
CUDA,1.3913,2.2725,718.752,440.044
CUDA,1.3808,2.3146,724.218,432.04
CUDA,1.5986,2.6719,625.547,374.266
CUDA,1.4128,2.3247,707.814,430.163
CUDA,1.5877,2.6043,629.842,383.98
CUDA,1.5353,2.4459,651.339,408.847
CUDA,2.0362,3.1779,491.111,314.673
CUDA,1.4259,2.3422,701.311,426.949
CUDA,1.5116,2.5885,661.551,386.324
CUDA,1.4775,2.3572,676.819,424.232
CUDA,1.5574,2.6213,642.096,381.49
CUDA,1.6488,2.6483,606.502,377.601
CUDA,1.4907,2.3974,670.826,417.119
CUDA,1.6424,2.5058,608.865,399.074
CUDA,1.3629,2.2003,733.73,454.483
CUDA,1.2455,2.1545,802.89,464.145
CUDA,1.5676,2.7274,637.918,366.65
CUDA,1.5633,2.4678,639.672,405.219
CUDA,1.6979,3.2181,588.963,310.742
CUDA,2.0957,2.9489,477.168,339.109
CUDA,1.5741,2.436,635.284,410.509
CUDA,1.2165,2.0025,822.03,499.376
CUDA,1.5143,2.4308,660.371,411.387
CUDA,1.378,2.2774,725.689,439.097
CUDA,1.7937,2.7966,557.507,357.577
CUDA,1.8474,2.734,541.301,365.764
CUDA,1.5629,2.5167,639.836,397.346
CUDA,1.5351,2.3889,651.423,418.603
CUDA,1.5247,2.3415,655.867,427.077
CUDA,1.5154,2.4718,659.892,404.563
CUDA,1.4426,2.3472,693.193,426.04
CUDA,1.3917,2.1653,718.546,461.83
CUDA,2.3066,3.1761,433.539,314.852
CUDA,1.3777,2.1356,725.847,468.253
CUDA,1.4233,2.2054,702.593,453.432
CUDA,1.4244,2.2047,702.05,453.576
CUDA,1.3229,2.0463,755.915,488.687
CUDA,1.3999,2.1216,714.337,471.342
CUDA,1.4368,2.2433,695.991,445.772
CUDA,1.3426,2.1064,744.823,474.744
CUDA,1.3733,2.1595,728.173,463.07
CUDA,1.3976,2.1697,715.512,460.893
CUDA,1.3718,2.2941,728.969,435.901
CUDA,1.5461,2.4471,646.789,408.647
CUDA,1.4595,2.2731,685.166,439.928
CUDA,1.5694,2.4074,637.186,415.386
CUDA,1.9147,2.8856,522.275,346.548
CUDA,1.3761,2.2603,726.691,442.419
CUDA,1.331,2.0782,751.315,481.186
CUDA,1.4207,2.2532,703.878,443.813
CUDA,1.3009,2.0395,768.699,490.316
CUDA,1.3237,2.0503,755.458,487.734
CUDA,1.3301,2.1151,751.823,472.791
CUDA,1.4627,2.3558,683.667,424.484
CUDA,2.3994,3.3074,416.771,302.352
CUDA,1.4293,2.3323,699.643,428.761
CUDA,1.357,2.1892,736.92,456.788
CUDA,1.4144,2.2841,707.014,437.809
CUDA,1.5027,2.3507,665.469,425.405
CUDA,1.4092,2.2911,709.622,436.472
CUDA,1.5329,2.6855,652.358,372.37
CUDA,1.6335,2.559,612.182,390.778
CUDA,1.4887,2.3289,671.727,429.387
CUDA,1.5032,2.3579,665.247,424.106
CUDA,1.3706,2.1612,729.607,462.706
CUDA,1.3211,2.0461,756.945,488.735
CUDA,1.3816,2.1765,723.798,459.453
CUDA,1.511,2.2787,661.813,438.847
CUDA,1.8139,2.6351,551.298,379.492
CUDA,1.4007,2.2061,713.929,453.289
CUDA,1.3008,2.042,768.758,489.716
CUDA,1.2966,2.0363,771.248,491.087
CUDA,1.2858,1.9717,777.726,507.177
CUDA,1.3366,2.1733,748.167,460.13
CUDA,1.5852,2.6833,630.835,372.675
CUDA,2.1408,3.0315,467.115,329.87
CUDA,1.4228,2.3152,702.839,431.928
CUDA,1.4395,2.2624,694.686,442.008
CUDA,1.2931,1.9977,773.335,500.576
CUDA,1.3063,1.9797,765.521,505.127
CUDA,1.3499,2.0867,740.796,479.226
CUDA,1.8197,2.6909,549.541,371.623
CUDA,2.0188,2.931,495.344,341.18
CUDA,1.3156,2.0692,760.109,483.279
CUDA,1.1037,1.783,906.043,560.853
CUDA,1.3129,2.0202,761.673,495
CUDA,1.3918,2.1378,718.494,467.771
CUDA,1.35,2.1206,740.741,471.565
CUDA,1.3931,2.1467,717.824,465.831
CUDA,1.5083,2.405,662.998,415.8
CUDA,1.562,2.5158,640.205,397.488
CUDA,1.3155,2.252,760.167,444.05
CUDA,1.4143,2.2496,707.064,444.523
CUDA,1.4155,2.2633,706.464,441.833
CUDA,1.3726,2.1617,728.544,462.599
CUDA,1.3728,2.2765,728.438,439.271
CUDA,1.3249,2.3194,754.774,431.146
CUDA,1.9497,2.8202,512.899,354.585
CUDA,1.3044,2.0908,766.636,478.286
CUDA,1.331,2.0598,751.315,485.484
CUDA,1.333,2.1462,750.188,465.94
CUDA,1.4542,2.264,687.663,441.696
CUDA,1.3606,2.2187,734.97,450.714
CUDA,1.8093,3.1298,552.7,319.509
CUDA,1.2069,2.4923,828.569,401.236
CUDA,1.3297,2.0665,752.049,483.91
CUDA,1.2977,2.0386,770.594,490.533
CUDA,1.3975,2.1814,715.563,458.421
CUDA,1.3988,2.185,714.898,457.666
CUDA,1.2779,2.068,782.534,483.559
CUDA,1.3948,2.3611,716.949,423.531
CUDA,2.1625,3.4785,462.428,287.48
CUDA,1.1804,1.9928,847.17,501.806
CUDA,1.2816,1.9983,780.275,500.425
CUDA,1.3044,1.9937,766.636,501.58
CUDA,1.0603,1.7894,943.129,558.847
CUDA,1.2986,2.0522,770.06,487.282
CUDA,1.2718,2.3247,786.287,430.163
CUDA,2.0443,3.0622,489.165,326.563
CUDA,1.4721,2.2012,679.302,454.298
CUDA,1.3265,2.2365,753.864,447.127
CUDA,1.5287,2.389,654.151,418.585
CUDA,1.4739,2.2976,678.472,435.237
CUDA,1.4379,2.2131,695.459,451.855
CUDA,1.2461,2.363,802.504,423.191
CUDA,1.5585,2.7967,641.643,357.564
CUDA,1.2961,2.0649,771.545,484.285
CUDA,1.3093,2.0317,763.767,492.199
CUDA,1.4454,2.2243,691.85,449.58
CUDA,1.3221,2.0507,756.372,487.638
CUDA,1.356,2.094,737.463,477.555
CUDA,1.3793,2.1552,725.005,463.994
CUDA,1.3883,2.1784,720.305,459.052
CUDA,1.9127,2.6254,522.821,380.894
CUDA,1.1918,1.8892,839.067,529.325
CUDA,1.1302,1.9194,884.799,520.996
CUDA,1.099,1.8213,909.918,549.058
CUDA,1.1155,1.7403,896.459,574.614
CUDA,1.0569,1.6769,946.163,596.339
CUDA,1.0555,1.7258,947.418,579.441
CUDA,1.1347,1.9898,881.29,502.563
CUDA,1.9867,2.6277,503.347,380.561
CUDA,1.095,1.6992,913.242,588.512
CUDA,1.0612,1.669,942.329,599.161
CUDA,1.2642,1.9286,791.014,518.511
CUDA,1.3283,1.9779,752.842,505.587
CUDA,1.2983,1.9441,770.238,514.377
CUDA,1.2855,1.9299,777.907,518.162
CUDA,1.3393,2.2598,746.659,442.517
CUDA,1.5415,2.2281,648.719,448.813
CUDA,1.3578,2.0353,736.485,491.328
CUDA,1.0831,1.7084,923.276,585.343
CUDA,1.0749,1.6725,930.319,597.907
CUDA,1.1242,1.8285,889.521,546.896
CUDA,1.0569,1.768,946.163,565.611
CUDA,1.0545,1.6524,948.317,605.18
CUDA,1.049,1.6263,953.289,614.893
CUDA,1.1495,2.2118,869.943,452.12
CUDA,2.0343,2.9031,491.57,344.459
CUDA,1.4296,2.1461,699.496,465.962
CUDA,1.3502,2.0719,740.631,482.649
CUDA,1.2692,1.9864,787.898,503.423
CUDA,1.0661,1.684,937.998,593.824
CUDA,1.0559,1.644,947.059,608.273
CUDA,1.0446,1.6385,957.304,610.314
CUDA,1.1629,1.8788,859.919,532.255
CUDA,1.0325,3.3561,968.523,297.965
CUDA,1.6497,2.5024,606.171,399.616
CUDA,1.2076,1.9488,828.089,513.136
CUDA,1.2727,1.9399,785.731,515.49
CUDA,1.0457,1.6388,956.297,610.203
CUDA,1.0464,1.6242,955.657,615.688
CUDA,1.0477,1.6322,954.472,612.67
CUDA,1.1094,1.7557,901.388,569.573
CUDA,1.1596,3.4754,862.366,287.737
CUDA,1.6951,2.4257,589.936,412.252
CUDA,1.3955,2.0976,716.589,476.735
CUDA,1.3995,2.0802,714.541,480.723
