backend,platform,configuration,width,height,render_ms,frame_ms,render_fps,frame_fps
CUDA,Win64,Release,1920,1080,1.1639,1.9348,859.18,516.849
CUDA,Win64,Release,1920,1080,1.151,2.5013,868.81,399.792
CUDA,Win64,Release,1920,1080,1.1278,1.9819,886.682,504.566
CUDA,Win64,Release,1920,1080,1.2569,29.8996,795.608,33.4453
CUDA,Win64,Release,1920,1080,1.1546,33.1219,866.101,30.1915
CUDA,Win64,Release,1920,1080,1.2804,49.6597,781.006,20.1371
CUDA,Win64,Release,1920,1080,1.2642,2.9924,791.014,334.18
CUDA,Win64,Release,1920,1080,1.3149,2.3474,760.514,426.003
CUDA,Win64,Release,1920,1080,1.3468,2.2616,742.501,442.165
CUDA,Win64,Release,1920,1080,1.3912,2.3224,718.804,430.589
CUDA,Win64,Release,1920,1080,1.2775,2.2728,782.779,439.986
CUDA,Win64,Release,1920,1080,1.291,2.1167,774.593,472.434
CUDA,Win64,Release,1920,1080,1.2919,2.3468,774.054,426.112
CUDA,Win64,Release,1920,1080,1.2804,2.2388,781.006,446.668
CUDA,Win64,Release,1920,1080,1.4179,2.2655,705.268,441.404
CUDA,Win64,Release,1920,1080,1.2652,2.185,790.389,457.666
CUDA,Win64,Release,1920,1080,1.2112,2.0613,825.627,485.131
CUDA,Win64,Release,1920,1080,1.4198,2.276,704.325,439.367
CUDA,Win64,Release,1920,1080,1.237,2.0788,808.407,481.047
CUDA,Win64,Release,1920,1080,1.3199,2.2649,757.633,441.521
CUDA,Win64,Release,1920,1080,1.3186,2.3301,758.38,429.166
CUDA,Win64,Release,1920,1080,1.1979,2.0857,834.794,479.455
CUDA,Win64,Release,1920,1080,1.1959,2.0545,836.19,486.736
CUDA,Win64,Release,1920,1080,1.2948,2.1529,772.32,464.49
CUDA,Win64,Release,1920,1080,1.2386,2.1211,807.363,471.453
CUDA,Win64,Release,1920,1080,1.1517,2.0882,868.282,478.881
CUDA,Win64,Release,1920,1080,1.3469,2.2832,742.446,437.982
CUDA,Win64,Release,1920,1080,1.2906,2.1704,774.833,460.745
CUDA,Win64,Release,1920,1080,1.211,2.1138,825.764,473.082
CUDA,Win64,Release,1920,1080,1.1454,2.0173,873.057,495.712
CUDA,Win64,Release,1920,1080,1.1549,1.9463,865.876,513.795
CUDA,Win64,Release,1920,1080,1.1969,1.9822,835.492,504.49
CUDA,Win64,Release,1920,1080,1.2235,2.0219,817.327,494.584
CUDA,Win64,Release,1920,1080,1.3832,2.535,722.961,394.477
CUDA,Win64,Release,1920,1080,1.3122,2.3276,762.079,429.627
CUDA,Win64,Release,1920,1080,1.4051,2.3578,711.693,424.124
CUDA,Win64,Release,1920,1080,1.0827,1.9553,923.617,511.43
CUDA,Win64,Release,1920,1080,1.183,1.9568,845.309,511.038
CUDA,Win64,Release,1920,1080,1.3704,2.2056,729.714,453.391
CUDA,Win64,Release,1920,1080,1.2012,2.0383,832.501,490.605
CUDA,Win64,Release,1920,1080,1.2574,2.2174,795.292,450.979
CUDA,Win64,Release,1920,1080,1.238,2.1899,807.754,456.642
CUDA,Win64,Release,1920,1080,1.6017,2.3425,624.337,426.894
CUDA,Win64,Release,1920,1080,1.1488,1.9679,870.474,508.156
CUDA,Win64,Release,1920,1080,1.1543,1.9049,866.326,524.962
CUDA,Win64,Release,1920,1080,1.1775,1.9029,849.257,525.514
CUDA,Win64,Release,1920,1080,1.1457,1.8565,872.829,538.648
CUDA,Win64,Release,1920,1080,1.1444,1.8559,873.82,538.822
CUDA,Win64,Release,1920,1080,1.2099,1.9872,826.515,503.221
CUDA,Win64,Release,1920,1080,1.1688,1.9206,855.578,520.671
CUDA,Win64,Release,1920,1080,1.1822,1.9161,845.881,521.893
CUDA,Win64,Release,1920,1080,1.2441,2.0282,803.794,493.048
CUDA,Win64,Release,1920,1080,1.2849,2.0846,778.271,479.708
CUDA,Win64,Release,1920,1080,1.3086,2.1446,764.175,466.287
CUDA,Win64,Release,1920,1080,1.293,2.0812,773.395,480.492
CUDA,Win64,Release,1920,1080,1.1534,2.1166,867.002,472.456
CUDA,Win64,Release,1920,1080,1.124,2.0325,889.68,492.005
CUDA,Win64,Release,1920,1080,2.2707,3.1276,440.393,319.734
CUDA,Win64,Release,1920,1080,1.2236,2.0481,817.261,488.257
CUDA,Win64,Release,1920,1080,1.1652,1.9996,858.222,500.1
CUDA,Win64,Release,1920,1080,1.2356,2.0536,809.323,486.95
CUDA,Win64,Release,1920,1080,1.2824,2.0911,779.788,478.217
CUDA,Win64,Release,1920,1080,1.1363,2.2074,880.049,453.022
