backend,platform,configuration,width,height,render_ms,frame_ms,render_fps,frame_fps
CPU,Win64,Release,1920,1080,271.247,272.678,3.68667,3.66732
CPU,Win64,Release,1920,1080,272.571,274.551,3.66876,3.64231
CPU,Win64,Release,1920,1080,266.685,269.161,3.74974,3.71525
CPU,Win64,Release,1920,1080,268.841,270.202,3.71967,3.70093
CPU,Win64,Release,1920,1080,268.399,269.866,3.7258,3.70554
CPU,Win64,Release,1920,1080,274.874,276.622,3.63803,3.61503
CPU,Win64,Release,1920,1080,268.682,270.246,3.72188,3.70034
CPU,Win64,Release,1920,1080,265.515,266.998,3.76627,3.74534
CPU,Win64,Release,1920,1080,267.202,268.55,3.74248,3.7237
CPU,Win64,Release,1920,1080,271.113,274.705,3.6885,3.64027
CPU,Win64,Release,1920,1080,269.411,270.756,3.7118,3.69336
CPU,Win64,Release,1920,1080,266.037,267.439,3.75887,3.73916
CPU,Win64,Release,1920,1080,271.358,273.167,3.68516,3.66076
CPU,Win64,Release,1920,1080,267.041,268.657,3.74474,3.72222
CPU,Win64,Release,1920,1080,268.158,270.271,3.72914,3.69999
CPU,Win64,Release,1920,1080,268.68,269.998,3.72191,3.70374
CPU,Win64,Release,1920,1080,268.549,269.894,3.72372,3.70515
CPU,Win64,Release,1920,1080,271.642,273.203,3.68131,3.66028
CPU,Win64,Release,1920,1080,265.514,267.047,3.76629,3.74466
CPU,Win64,Release,1920,1080,268.476,269.936,3.72472,3.70458
CPU,Win64,Release,1920,1080,270.532,272.106,3.69643,3.67504
CPU,Win64,Release,1920,1080,282.728,283.996,3.53696,3.52118
CPU,Win64,Release,1920,1080,268.336,269.929,3.72667,3.70467
CPU,Win64,Release,1920,1080,268.562,270.351,3.72353,3.6989
CPU,Win64,Release,1920,1080,270.896,272.237,3.69145,3.67327
CPU,Win64,Release,1920,1080,270.821,272.599,3.69248,3.66839
CPU,Win64,Release,1920,1080,266.916,268.537,3.7465,3.72389
CPU,Win64,Release,1920,1080,276.604,278.19,3.61527,3.59466
CPU,Win64,Release,1920,1080,268.03,269.679,3.73092,3.70812
CPU,Win64,Release,1920,1080,266.732,268.301,3.74908,3.72715
CPU,Win64,Release,1920,1080,269.634,270.983,3.70873,3.69027
CPU,Win64,Release,1920,1080,268.098,270.113,3.72998,3.70215
CPU,Win64,Release,1920,1080,267.055,268.648,3.74455,3.72235
CPU,Win64,Release,1920,1080,268.535,269.91,3.72391,3.70494
